state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
New York,NY,NY-17,17,289,523584,385517,65877,44303,25687,1711,63,
New York,NY,NY-18,18,290,553521,406079,70045,59633,13552,3271,221,
New York,NY,NY-19,19,291,602819,530788,26170,25678,15659,4120,209,
New York,NY,NY-20,20,292,581936,480705,25822,51332,19028,3684,265,
New York,NY,NY-21,21,293,613196,562312,19547,18499,5177,6981,447,
New York,NY,NY-22,22,294,581336,491501,22716,47513,13146,5424,152,
New York,NY,NY-23,23,295,607339,564610,15157,16740,4366,6345,85,
New York,NY,NY-24,24,296,605015,556161,16948,22246,4438,4862,157,
New York,NY,NY-25,25,297,580269,439891,42459,79254,14835,2918,173,
New York,NY,NY-26,26,298,568770,426387,29653,92097,14568,5061,155,
Ohio,OH,OH-01,1,299,570120,425791,12044,113395,14739,2711,379,
Ohio,OH,OH-02,2,300,606574,575969,6145,15953,2722,5235,163,
Ohio,OH,OH-03,3,301,563931,365682,17377,153691,20723,4597,205,
Ohio,OH,OH-04,4,302,577640,522831,9571,31541,8786,4240,187,
Ohio,OH,OH-05,5,303,598065,529101,33394,26998,4481,3756,162,
Ohio,OH,OH-06,6,304,625184,561677,13956,41402,3401,3910,45,
Ohio,OH,OH-07,7,305,587877,534907,15465,20776,13790,2476,120,
Ohio,OH,OH-08,8,306,569756,473559,9951,71321,10082,3779,71,
Ohio,OH,OH-09,9,307,595715,480814,32523,71852,6010,3765,196,
Ohio,OH,OH-10,10,308,594515,463038,11849,103397,10404,4763,106,
Ohio,OH,OH-11,11,309,594563,282882,35077,262025,10595,3633,130,
Ohio,OH,OH-12,12,310,598094,554749,7827,23573,6835,4443,189,
Ohio,OH,OH-13,13,311,603441,499422,9610,79261,11035,3988,34,
Ohio,OH,OH-14,14,312,610448,557766,11477,31362,5343,3340,88,
Ohio,OH,OH-15,15,313,559419,466671,13892,59453,15656,3570,46,
Oklahoma,OK,OK-01,1,314,540891,387390,31767,52622,12675,56994,323,
Oklahoma,OK,OK-02,2,315,616811,428190,18514,24385,3832,141770,511,
Oklahoma,OK,OK-03,3,316,550368,408898,53357,32646,7622,48057,458,
Oklahoma,OK,OK-04,4,317,583934,429660,38029,49330,13204,52157,437,
Oklahoma,OK,OK-05,5,318,563930,404659,29691,71951,16572,41118,304,
Oregon,OR,OR-01,1,319,499415,391447,45269,11988,38341,7571,1885,
Oregon,OR,OR-02,2,320,522911,445783,45368,4724,6469,18229,1039,
Oregon,OR,OR-03,3,321,513819,393893,38420,30524,36665,9597,2258,
Oregon,OR,OR-04,4,322,549291,478888,30140,6496,14464,16469,886,
Oregon,OR,OR-05,5,323,527970,462137,30430,6325,16196,9434,657,
